"NEW SINCE","PARTY","ENTRY BY","PARTY ADD","PARTY ADD2","CITY","CELL NO","EMAILID","CELLNO2","EMAILID2","GST NO","REMARKS",
"2/12/2025 4:07:04 PM","PADUKA JEWEL RAJKOT","","SURAT-9724041998","","RAJKOT","9724041998","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/11/2025 7:18:20 PM","RS JEWELLERS","","HYDERABAD
99490 98800","","HYDERABAD","99490 98800","NO@EMAIL.COM","","","GST","",
"2/11/2025 6:48:52 PM","SRI KUMRAN","","204,NARMADHA COMPLEX, PERIYAR ST. SALEM-636001
MOB : 93441 55113 / 9994501580","","SALEM (TAMIL NADU)","93441 55113 / 9994501580","NO@GMAIL.COM","","","33CKSPM779OKIZ9","",
"2/11/2025 6:18:58 PM","TSS JEWELS","","DAHISAR , MUMBAI
98798 62972","","MUMBAI","98798 62972","no@email.com","","","GST","",
"2/11/2025 3:49:50 PM","DIAMOND &GOLD JEWELLERY CASTING","","IX/4656, GALI NO :2 , NEAR KALI MATA MANDIR AJEET NAGAR, GANDHI NAGAR,DELHI-110031 
9210479568 / 9718116342","","DELHI","9210479568 / 9718116342","noemail@gmail.com","","","nogst","",
"1/29/2025 1:20:05 PM","GND Atlanta Diamond LLP","","Unit No. 203, Block No. 1, Seepz ++ Building, Seepz-Sez, Seepz, Andheri (East), Mumbai-400096

GST No. 27AAQFG5220J2Z6","","MUMBAI","98192 87975","no@gmai.com","","","27AAQFG5220J2Z6","",
"2/11/2025 3:32:02 PM","Dholakia jewels pvt Ltd","","PLOT-NO-E-01,GEMS @ JEWELLERY PARK ICHCHPORE ADAJAN HAJIRA SURAT-394510","","SURAT","7573947471","store.dj@dholakia.tech","","","24AAICD8717E1ZP","",
"2/11/2025 9:58:46 AM","R R Das & Co","","BlUE Rose Industrial Estate next to metro mall 3rd floor 318, Magathane Borivali east 
Mumbai 400066
 79774 45641","","mumbai","79774 45641","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/10/2025 3:24:14 PM","ORIZ GOLD PRIVATE LTD","","ROOM NO:60/5607 A17 GRACE BUILDING , PUTHIYAALAM, MOORIYAD ROAD, CHALAPPUARAM,KOZHIKKODE-673002, KERALA
9846334461","","KERALA","9846334461","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/10/2025 2:54:08 PM","SHISH JEWELS LIMITED","","15th Floor, Office No. 1501 to 1515, The Junomoneta Tower, Adajan Hajira Road, Near Rajhans Cinema, Adajan, Surat, Surat, Gujarat, 395009
24ABECS7432G2ZD","PLOT NO.196, SURAT SPECIAL ECONOMIC ZONE SACHIN, SURAT, GUJARAT, 394230

GSTIN: 24ABECS7432G1ZE

PH: 90998 64277","SURAT","NO MOBILE","NOEMAIL@GMAIL.COM","","","24ABECS7432G1ZE","",
"2/10/2025 1:49:56 PM","HI-TECH JEWELS","","40/5, KUMARESAN NAGAR ,2ND STREET, SUNDAKKAMUTHUR ROAD ,COIMBATORE-641026
9943316916","","COIMBATORE","9943316916","NOEMAIL@GMAIL.COM","","","NO GST","",
"2/10/2025 12:54:09 PM","Hi-TECH JEWELS","","40/5, KUMARESAN NAGAR, 2ND STREET, 
SUNDAKKAMUTHUR ROAD , COIMBATORE-641026
9943316916","","COIMBATORE","9943316916","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/10/2025 12:45:23 PM","Hi -TECH JEWELS","","40/5, KUMARESAN NAGAR, 2ND STREET, 
SUNDAKKAMUTHUR ROAD, COIMBATORE-641026
9943316916","","COIMBATORE","9943316916","NOEMAIL@GMAIL.COM","","","GST NO","",
"2/10/2025 10:04:45 AM","HARI MEHTA","","HARI MEHTA
MO  9820424527","","NO","+919820424527","NO@GMAIL.COM","","","NO","",
"2/9/2025 6:53:10 PM","Shree Ganesh Gold","","Shop # 9, 1st Floor, New # 32 (Old #2),
Elakandappan Street, Park Town, Chennai - 600 003.
Mob:-98840 23452","","CHENNAI","98840 23452","shreeganeshgold@gmail.com","","","NA","",
"2/9/2025 4:48:56 PM","Shri Karthick","","Old No.29, New No.44, Hanumatharayan Koil Street, Park Town,
Edapalayam, Chennai - 600 003.
95001 30199/8754413809","","CHENNAI","9500130199","shrikartickwax@gmail.com","","","NA","",
"2/8/2025 4:26:14 PM","GYN BANGLES","SATISH","136, A1, SHAH & NAHAR INDUSTRIAL ESTATE, SITARAM JADHAV MARG. LOWER PAREL (W), MUMBAI - 400013
P: 9820476756
E: gyn.bangles@yahoo.com","","MUMBAI","98209 419 26","gyn.bangles@yahoo.com","","","NA","",
"2/8/2025 3:19:48 PM","BlueStone Jewellery And Lifestyle Pvt. Ltd.","","302, 3rd. Floor, Dhanthak Plaza, Makwana Road,
Marol, Andheri (East), Mumbai 400059","","MUMBAI","8879587157","poltu.bera@bluestone.com","","","NA","",
"2/7/2025 4:26:34 PM","CRT HOSUR","","CRT HOSUR
MO 9443339096","","NO","9443339096","no@gmail.com","","","no","",
"2/11/2025 3:19:20 PM","SARANG JEWELLERS","","SARAFA BAZAR, NEAR MURLI MANDIR, 
NANDED -431064
9011811579
GSTIN:-27AFRPV0774L1ZJ","1","NANDED","9011811579","no@email.com","","","27AFRPV0774L1ZJ","",
"1/29/2025 11:26:55 AM","Trident Jewels Private Limited","","Office: 12, Refinery Bldg., 2nd Floor. Dhanji Street, 2nd Agiary Lane, Mumbai-400002","","MUMBAI","98206 34934","tridentooron@gmall.com","","","NO","",
"1/28/2025 5:46:06 PM","SHRI LAXMI VENKATESH JEWELLER","","9699 82 9699","","NO","9699 82 9699","NO@GMAIL.COM","","","NO","",
"1/28/2025 1:22:03 PM","KARTIK","","KARTIK 9894795098","","NO","9894795098","no@gmail.com","","","no","",
"1/22/2025 12:13:50 PM","ASSAYERS & REFINERS","","3rd FLOOR ,MALABAR GATE, RAM MOHAN ROAD CALICUT , 673004 
MOBILE NO- 94470818916
GST N0 - 32AAACQ1088K1ZG","","KERALA","94470818916","Hafsal@qualityassay.in","","","32AAACQ1088K1ZG","",
"1/22/2025 11:46:14 AM","VARUN","","90419 47277","","NO","90419 47277","NO@GMAIL.COM","","","NO","",
"1/22/2025 11:05:37 AM","ZAFAR ABDURAZAKOV","","ADD: CHORSU MARKET, GOLD CENTER. AMIR TEMUR AVE. 40, ALAY MARKET
MOB: +998977448383 / +99893 3886666","","UZBEKISTAN","+998977448383 / +99893 3886666","NO@GMAIL.COM","","","GST","",
"1/22/2025 10:54:04 AM","UNI DESIGN ELITE JEWELLERY PVT LTD-Navsari","","SURVAY NO. 280091, MAHENDRABROTHERS EXPORTS PRIVATE LIMITED, GANDEVI ROAD, Jamalpore, Navsari, Navsari, Gujarat, 396445
7984116176 
24AAACK3499E1ZL","","VASARI","7984116176","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/21/2025 4:54:35 PM","VALORIOUS EXIM LLP","","HIRA PANNA WING A, OPP CRYSTAL CHAMBER, BESIDE DIAMOND WORLD KOHINOOR ROAD MINIBAZAR VARACHHA SURAT-395006, -9879959074","","SURAT","9879959074","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/21/2025 4:28:25 PM","KHEMISATI","","KHEMISATI","","KHEMISATI","7008387299","NO@GMAIL.COM","","","NO","",
"1/21/2025 2:58:49 PM","R K JEWELLERS (CHHATTSGARH)","","SARAFA BAZAR,HANUMAN CHOWK,CHAMPA DISTT.JANIGIR-CHAMPA- 495671
22BDMPS6944M1ZU 
9893621825/9826118108","","Chhattisgarh","9893621825/9826118108","noemail@gmail.com","","","nogst","",
"1/21/2025 3:42:14 PM","MAUL SHREE JEWELLERY","","244, TULASI ARCADE OPPO , FRIDAY CINEMA MOTA VARCHHA , SURAT, 394101
8866487117/9316851484","","SURAT","8866487117/9316851484","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/21/2025 2:32:56 PM","GAURAV PARSANA","","Gala-2 To 5 First Flr, Jariwala Compound Vasta Devdi Rd, Katargam, Near Kiran Hospital, Surat-395004, Gujarat(india). +91 91061 91567 |","","Surat-","91 91061 91567","gp@tanvieternals.com","","","no","",
"1/21/2025 2:26:54 PM","GHARANA JEWELS","","CHURA RASTA JAIPUR
8796032387","","JAIPUR","8796032387","NO@EMAIL.COM","~","","GST","",
"1/21/2025 2:16:11 PM","AAYAT CREATION","","SH NO.9, GROUND FLOOR ,DIAMOND MALL (NR.P.P. JEWELLERS),GALI BEADONPURA , KAROLBAGH , NEW DELHI-110005","","DELHI","9717074064","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/21/2025 1:55:48 PM","CKS JEWELLERY","","COIMBATORE-8668058634","","COIMBATORE","8668058634","NOEMAIL@GMAIL.CO","","","NO GST NO","",
"1/22/2025 12:35:35 PM","SHREE NAKODA JEWELLERS","","OPP. BOB ATM, ZALOD ROAD , LIMKHEDA GUJURAT-9426583975/9537144485/7984204528","","Gujarat","9426583975/9537144485/7984204528","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/21/2025 11:18:31 AM","KAMAKSHI JWELLERS","","NEAR BASAVESHWAR BANK  ADAT BAZAR, BAGALKOT-587101
9480927657/7019896423","9480927657/7019896423","BAGALKOT","9480927657/7019896423","NOEMAIL@GMAIL.COM","","NOEMAIL@GMAIL.COM","NO GST","",
"1/20/2025 6:48:46 PM","SPS GOLD","","SPS GOLD COIMBATORE
+91 94052 83916","","COIMBATORE","+91 94052 83916","NO@GMAIL.COM","","","NO","",
"1/20/2025 6:35:38 PM","SARVA","","PLOT NO.20A, STREET NO.2, SHIV HOUSE, PART-1, SHREE RAMDEVJI MAHARAJ TEMPLE, SADGURU RANCHHOD NAGAR SOCIETY, RAJKOT, GUJARAT, 360003.
MOB: +91 92657 43295","","RAJKOT","92657 43295","sarvasilver925@gmail.com","","","GST","",
"1/20/2025 4:08:10 PM","ANKIT ZALVADIYA","","SURAT","884 940 6409","surat","884 940 6409","no@email.com","","","gst","",
"1/20/2025 4:04:39 PM","SARAD","","MUMBAI 
9998797212","","MUMBAI","9998797212","noemail@gmail.com","","","nogst","",
"1/20/2025 3:36:37 PM","ARYAMOND LUXURY PRODUCTS PVT LTD","","493,UDYOG VIHAR PHASE ||| GURUGRAM HARYANA ,INDIA 122OO1
+91 124 409900 / 8167798253","","GURUGRAM","8167798253","nikhil.kumar@aryamond.com","","","no","",
"1/20/2025 2:14:20 PM","MANIKARNIKA JEWELLERS","","SURAT, GUJARAT
P: 9892218544 / 8591707842 / 8928540883
E: rameshseth@manikaranikajewellers.com","","SURAT","+91 98922 18544 / +91 85917 07842 / +91 89285 40883","rameshseth@manikarnikajewellers.com","","","no","",
"1/20/2025 11:32:21 AM","KHUSHI JEWELS","","GALA NO 67 , APOLLO INDL EST, NEAR PAPER BOX, ANDHERI (e), MUMBAI-400093
8369521035","AP~","mumbai","8369521035","NO@EMAIL.COM","","","GST","",
"1/20/2025 11:05:00 AM","VAIBHAV GOLD","","355/2, J. SONS COMPLEX , SONAR GALI SIRU CHOWK, ULHASNAGAR-421002
9152922515/9152213712","","MUMBAI","9152922515/9152213712","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/20/2025 10:48:34 AM","SHREE SOUTH INDIA JEWELLERS","","14/215, Shop No. 19, R.S. Imperial, Anamvari Street, NELLORE - 524 001. (Α.Ρ.)","",", NELLORE - 524 001. (Α.Ρ.)","8111800004","no@gmail.com","","","no","",
"1/18/2025 7:10:44 PM","J.K. GOLD","","PUTHENPURACKAL BUILDING
14/5 NEDUMKUNNAM
KARUKACHAL P.O, KOTTAYAM - 686 540
MOB : 7708006197","","KOTTAYAM","7708006197","NO@GMAIL.COM","","","32AUKPJ2595H2ZH","",
"1/18/2025 10:56:35 AM","JEWELLRY PALACE","","SURAT 
9601500000","","SURAT","9601500000","noemail@gmail.com","","","nogst","",
"1/17/2025 6:32:50 PM","INFINIA JEWELS","","SEEPZ MUMBAI
7738675656","","MUMBAI","7738675656","no@email.com","","","gst","",
"1/21/2025 10:54:35 AM","SURESH KUMAR JEWELLERS","","Shop No. S3, 2nd Floor, SS Jewel World Old #37, New #29, Veerappan Street, Sowcarpet, Chennai - 600 079.
Ph: 044-4278 1686 Centrex : 2440","","Chennai - 600 079.","Vinod Challani 96770 56796 Vasanth Challani 98413 14874","tcsmcx@yahoo.co.in","","","no","",
"2/14/2025 12:16:29 PM","BAANGANGA GOLD & DIAMOND (I) PVT LTD","","5TH FLOOR, 211/213, RAJA GOVERDHANLAL
BANSILA BUILDING ABOVE CENTRAL BANK OF INDIA, KALBADEVI ROAD, MUMBAI-400002
GST:27AAKCB7358R1ZP
9619346819","","MUMBAI","9619346819","NOEMAIL@GAMIL.COM","","","NO GST","",
"1/22/2025 12:48:28 PM","BRILLIA DIAMONDS PRIVATE LIMITED","","Industrial Development Plot No. 11, 
Ayyankunnu, Mundur, Thrissur, Kerala- 680541
GST :32AAMCB1271H1ZX","","KERALA","7356334222 / 8113961916","NO@GMAIL.COM","","","32AAMCB1271H1ZX","",
"1/22/2025 3:26:06 PM","MUNEENDRA CASTING & MOULDINGS","","#12/1535,GLDDANGI STREET CHINNA BAZAAR, NELLORE-524001
8099994164","","NELLORE","8099994164","muraliambur2@gmail.com","","","nogst","",
"1/28/2025 12:24:52 PM","BABU BHAI CHAINS (G.R)","","LALITA SADAN , BAVAJI RAJ ROAD , JUMMA MASJID CHOWK , NEAR MAYUR APARTMENT RAJKOT-360001
8460539857/8910002382","","RAJKOT","8460539857/8910002382","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/28/2025 10:45:38 AM","SRI KANTESHWARA JEWELLERS","","LAKSHMI BAZAR , 1ST CROSS, CHITRADURGA-577501
M.9945515340","","CHITRADURGA","9945515340","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/28/2025 10:39:20 AM","ROHIT GEMS","","A/206, Mandpeshwar Industrial Estate, S.V.P. Road, Prem Nagar, Opp. M.C.F. Sports Complex, Borivali (West), Mumbai - 400092","","MUMBAI","3819188960  / 8356006253 / 9819146485","rohitgems03@gmail.com","","","NO","",
"1/27/2025 5:07:57 PM","LADIA DIAMONDS PVT. LTD.","","Ground Floor, Pillar # 1620 Near Jubilee Hills Metro Station, Jubilee Hills Road # 36, Hyderabad 500 033","","Hyderabad 500 033","91600 91602","NO@GMAIL.COM","","","NO","",
"1/27/2025 5:04:46 PM","LORD OF GEMS","","LORD OF GEMS
94642 22333","","NO","94642 22333","no@gmail.com","","","no","",
"1/27/2025 5:00:07 PM","GOVIND MODI","","27, Ambabari Shopping Center, Ambabari, Jaipur - 302039","","Jaipur - 302039","91-9829150876","rgj21 jaipur@gmail.com","","","NO","",
"1/27/2025 11:49:48 AM","KAVAN JEWELS","","DIAMOND MARKET, 508, SUKRA BUILDING , GAUSHALA LN, MALAD EAST, MUMBAI - 400097 
7977754515","","MUMBAI","7977754515","kavanjewel@gmail.com","","","no gst no","",
"1/27/2025 9:59:36 AM","SRIKISHAN JEWELS","","5-9-279/A2, MAYUR KUSHAL COMPLEX ,OPP .SBI GUNFOUNDRY, HYDERABAD-1,T.S INDIA
  MOBILE NO     9985320075","","HYDERABAD","9985320075","sk_jewels@yahoo.com","","","no","",
"1/25/2025 3:09:01 PM","Divyesh shah","","HYDRABAD 
9619917834","","HYDRABAD","9619917834","noemail@gmail.com","","","nogst","",
"1/25/2025 12:44:23 PM","ALFIE JEWELLERY WORKS","","993, 2ND FLOOR, GVR LANE , NAGARATHPET
BANGALORE-560002
8073691719/8050056079","","BANGALORE","8073691719/8050056079","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/25/2025 12:41:47 PM","DHARA INVISIBLE JEWELLERS","","C-7,1 ST FLOOR,MAMTA INDESTATE,NEAR SRIRAM JEWELLERS, NAVGHAR ROAD,BHAYANDAR(E),THANE-401105
8655685123","","THANE","8655685123","noemail@gmai.com","","","NOGST","",
"1/25/2025 11:36:45 AM","BALAJI JEWELERS","","BALAJI JEWELERS
9810700703","","na","9810700703","no@gmail.com","","","na","",
"1/22/2025 2:39:15 PM","VISION JEWELS","SATISH","1ST FLOOR, PLOT NO 33 A/B, PATEL INDUSTRIAL ESTET, SWAMI PARMANAND FLYOVER, INDUSTRIAL ESTE BAMABAWADI
OPP.ANATH ASHRAM, KATARGAM, SURAT - 395003, GUJARAT
GSTIN: 24AAXFV4606J1ZN
P: 7575877781
E: visionjewels01@gmail.com","","SURAT","75758 77781","visionjewels01@gmail.com","","","24AAXFV4606J1ZN","",
"1/24/2025 6:12:20 PM","VEIA GOLD","","SURAT 
9725694209","","SURAT","9725694209","merchandiser@veia.in","","","NOGST","",
"1/24/2025 2:52:06 PM","R K & SONS","UMA","FIRST FLOOR, 20,21,22, PARISEEMA COMPLEX, NEAR LAL BUNGLOW, Ahmedabad, Ahmedabad, Gujarat, 380006
24AACFR1717K1ZC
9574858271","","Ahmedabad","9574858271","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/24/2025 2:32:03 PM","DEEWAKAR EXPORTS","","B-2, ORNEJA COMPLEX CHAMELI WALA MARKET , M.I. ROAD ,JAIPUR 302001
9829015778 / 9414066654","","JAIPUR","9829015778 / 9414066654","dee_waker@yahoo.co","","","no","",
"1/24/2025 12:28:28 PM","SUMIT ARTS","SANDIP","UNIT NO. 319, UDYOG MANDIR NO.1, PITAMBER LANE, MAHIM(W), MUMBAI-16.
PARM JAIN
9833667404
sumit.arts@icloud.om","","NO","9833667404","NO@GMAIL.COM","","","NA","",
"1/23/2025 7:09:58 PM","SWASTIK JEWELS","","MUMBAI
9137041617","","MUMBAI","9137041617","NO@EMAIL.COM","","","GST","",
"1/23/2025 5:43:32 PM","S. K. CHAIN","","ADD: GALA NO. 135/136, AGARWAL IND. ESTATE, S.V. ROAD, NEAR DAHISAR PETROL PUMP, DAHISAR (E), 68
MOB : 9867312299","","MUMBAI","9867312299","kasemsk17@gmail.com","","","27AZBPS4281K1ZX","",
"1/23/2025 5:22:19 PM","VIVA SILVER","","1903, G-WING , MARINA ENCLAVE JANKALYAN  NAGAR MALAD (W) MUMBAI-400095
9930000412/7004818520","","MUMBAI","9930000412/7004818520","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/23/2025 2:38:06 PM","AGRA PRODUCTS PRIVATE LIMITED","","Plot No 99 And 94 NSEZ, Phase II, Noida, Gautam Buddha
Nagar, Uttar Pradesh, 201305
9560828350","","Noida","9560828350","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/23/2025 1:59:33 PM","EMERALD JEWELS EQUIPMENTS","","KVUMPURAM,VALANCHERY MALAPPURAM DT, KERALA-676552 
974687570/9656141481","","KERALA","974687570/9656141481","noemail@gmail.com","","","nogst","",
